group	size	logsize	score
JUND_JUND	4558768	28.954381264962628	0.01937
JUND_ATF3	3570181	26.480665391827237	0.005966
JUND_FOS	10848821	30.875190537063858	0.04862
JUND_FOS	12192684	31.042696072403075	0.038
JUND_FOS	13452633	31.177749291712516	0.040060000000000005
JUND_FOS	10842645	30.874352150192628	0.05142000000000001
JUND_CEBPB	10422684	30.815627881082193	0.021
JUND_BHLHE40	3847641	27.879336675835233	0.01656
JUND_JUND	4386147	28.780148157350805	0.032260000000000004
JUND_CHD1	4765997	29.12997723473186	0.01999
JUND_BHLHE40	7792801	30.33959683033645	0.04195
JUND_CHD1	4400333	28.79566866232747	0.013009999999999999
JUND_CEBPB	6229797	29.889641096578693	0.0172
JUND_JUND	5943349	29.77966942086286	0.06647
JUND_CEBPB	13183858	31.15043039655696	0.03753
JUND_JUND	6897080	30.10684394827124	0.06442
JUND_BHLHE40	6385413	29.944674073976987	0.09272000000000001
JUND_CEBPB	11877596	31.00586507522342	0.02814
JUND_JUND	9725755	30.709854246681008	0.08983
JUND_CEBPB	6400632	29.949897130876828	0.06168
JUND_CHD1	5338243	29.49788408496854	0.02768
JUND_CEBPB	16681081	31.45818387604697	0.01814
JUND_JUND	11655612	30.979077747406606	0.07993
JUND_BHLHE40	9370841	30.65135865334983	0.058170000000000006
JUND_CEBPB	10844059	30.874544161569418	0.0208
JUND_JUND	7201724	30.192225525000495	0.05806
JUND_FOS	9136931	30.61084698004153	0.04897
JUND_JUND	3868012	27.933152732898087	0.0036090000000000002
JUND_FOS	3647354	27.09492014745618	0.005567
JUND_FOS	5701279	29.676265929334015	0.054310000000000004
JUND_FOS	4615253	29.005380508268217	0.047560000000000005
JUND_FOS	5163717	29.399300842955483	0.1097
JUND_ATF3	5328995	29.492897054474362	0.050910000000000004
JUND_CHD1	6114226	29.846716086941825	0.05417999999999999
JUND_CHD1	4915597	29.239959349215816	0.03154
JUND_ATF3	6003217	29.803674634366615	0.05504
JUND_BHLHE40	9215185	30.624583551881678	0.02907
JUND_CEBPB	3827834	27.82407797588695	0.010740000000000001
JUND_CHD1	10061089	30.762145961884087	0.02684
JUND_CHD1	19762299	31.66795232699818	0.01899
JUND_JUND	14527155	31.280069825731527	0.2822
JUND_EGR1	5419078	29.540447442355642	0.04897
JUND_ATF3	4227178	28.587436537424956	0.028710000000000003
