group	size	logsize	score
JUND_BHLHE40	3824098	27.813303880357587	239.2
JUND_EGR1	4958463	29.26936554604685	105.3
JUND_ATF3	3832425	27.837160748626875	151.8
JUND_ATF3	4074264	28.358730216652148	152.7
JUND_ATF3	3824078	27.813245889676676	267.3
JUND_JUND	6551189	30.000148542279316	128.1
JUND_ELF1	7807734	30.34305269677256	67.94
JUND_ELF1	6737312	30.058971287215847	69.71
JUND_EGR1	5578675	29.61950986726435	90.52
JUND_ELF1	5969521	29.790234545395833	165.5
JUND_EGR1	7414598	30.247835685158382	56.28
JUND_ATF3	5603292	29.6311669983336	149.6
JUND_ATF3	5755067	29.700183817077708	148.2
JUND_ELF1	5598701	29.629003259912004	143.4
JUND_CEBPB	5711510	29.680859619269782	124.7
JUND_JUND	8189191	30.427509870965544	162.0
JUND_EGR1	3659537	27.164869252794347	226.2
JUND_CEBPB	6928723	30.116059446478758	41.89
JUND_CEBPB	3848215	27.880893400302973	21.53
JUND_EGR1	4246504	28.61294621227021	118.4
JUND_JUND	5316279	29.485999023832658	131.1
JUND_CEBPB	4854882	29.19677090892448	72.5
JUND_JUND	7401973	30.244622462404976	60.95
JUND_EGR1	4776823	29.13835521138684	115.3
JUND_CEBPB	7714965	30.32138770425107	39.4
JUND_ELF1	5600782	29.629984615416618	120.0
JUND_JUND	4952199	29.26512199949323	155.2
JUND_ELF1	4296138	28.675626740511923	170.0
JUND_CEBPB	5887550	29.756764724950095	46.58
JUND_CEBPB	7053126	30.151488247748667	58.12
JUND_ATF3	3749854	27.570892434786018	139.3
JUND_EGR1	4381383	28.774881496198567	111.9
JUND_ELF1	3855521	27.900498872320668	137.1
JUND_JUND	4558768	28.954381264962628	71.22
JUND_ATF3	3570181	26.480665391827237	206.6
JUND_FOS	10848821	30.875190537063858	60.58
JUND_FOS	12192684	31.042696072403075	45.47
JUND_FOS	13452633	31.177749291712516	46.12
JUND_FOS	10842645	30.874352150192628	63.93
JUND_CEBPB	10422684	30.815627881082193	27.41
JUND_BHLHE40	3847641	27.879336675835233	151.0
JUND_JUND	4386147	28.780148157350805	134.2
JUND_CHD1	4765997	29.12997723473186	64.44
JUND_BHLHE40	7792801	30.33959683033645	64.56
JUND_CHD1	4400333	28.79566866232747	54.44
JUND_CEBPB	6229797	29.889641096578693	34.0
JUND_JUND	5943349	29.77966942086286	133.4
JUND_CEBPB	13183858	31.15043039655696	43.62
JUND_JUND	6897080	30.10684394827124	108.4
JUND_BHLHE40	6385413	29.944674073976987	165.5
JUND_CEBPB	11877596	31.00586507522342	34.35
JUND_JUND	9725755	30.709854246681008	113.9
JUND_CEBPB	6400632	29.949897130876828	113.0
JUND_CHD1	5338243	29.49788408496854	68.66
JUND_CEBPB	16681081	31.45818387604697	19.98
JUND_JUND	11655612	30.979077747406606	93.65
JUND_BHLHE40	9370841	30.65135865334983	77.61
JUND_CEBPB	10844059	30.874544161569418	26.63
JUND_JUND	7201724	30.192225525000495	94.23
JUND_FOS	9136931	30.61084698004153	66.91
JUND_JUND	3868012	27.933152732898087	31.75
JUND_FOS	3647354	27.09492014745618	106.6
JUND_FOS	5701279	29.676265929334015	117.3
JUND_FOS	4615253	29.005380508268217	163.7
JUND_FOS	5163717	29.399300842955483	268.9
JUND_ATF3	5328995	29.492897054474362	123.9
JUND_CHD1	6114226	29.846716086941825	105.9
JUND_CHD1	4915597	29.239959349215816	92.87
JUND_ATF3	6003217	29.803674634366615	110.1
JUND_BHLHE40	9215185	30.624583551881678	40.28
JUND_CEBPB	3827834	27.82407797588695	103.6
JUND_CHD1	10061089	30.762145961884087	35.47
JUND_CHD1	19762299	31.66795232699818	20.07
JUND_JUND	14527155	31.280069825731527	256.9
JUND_EGR1	5419078	29.540447442355642	115.8
JUND_ATF3	4227178	28.587436537424956	140.0
JUND_ATF3	4867841	29.206146905734247	128.4
JUND_JUND	8666169	30.523973490257973	132.9
JUND_ELF1	22772490	31.837582043249686	52.93
JUND_EGR1	7710240	30.32027157932056	103.9
JUND_ELF1	13832866	31.215165112314825	124.0
JUND_EGR1	13937313	31.225202498075777	70.25
JUND_ATF3	6906680	30.109648773822492	147.8
JUND_ATF3	9192414	30.62060579764519	114.8
JUND_ELF1	8902221	30.568477053591817	116.4
JUND_CEBPB	9858936	30.730950868799198	110.6
