"group","size","logsize","score","simple.x","simple.y","group.offset","complicated.x","complicated.y"
"MAFK_ATF3",6864496,29.7065344883789,17.97,19568,0.652804668432402,-540.501447712422,19568,1.15642170021778
"MAFK_CHD1",12405495,30.4140997462321,14.02,25013,0.589845458846741,-560.079707749768,25013,1.57721308625794
"MAFK_CHD1",7616679,29.8372920561348,15.52,20599,0.613484627407917,-560.079707749768,20599,1.6084219917929
"MAFK_ELF1",2025069,27.4163443031221,21.89,6162,0.714606011765987,-549.560882352946,6162,1.51255833511622
"MAFK_ATF3",11252718,30.302596478513,14.83,24171,0.602258376541648,-540.501447712422,24171,1.07877076598771
"MAFK_BHLHE40",24095921,31.1416497622458,10.77,30189,0.536910945344777,-551.977382352943,30189,1.27277241287923
"MAFK_MAFK",33746040,31.4970095039065,74.66,32453.5,1.3873996508646,-356.056846405225,32453.5,0.486217124881451
"MAFK_MAFK",5317510,29.3678425048416,321.9,17110.5,3.47895276570738,-356.056846405225,17110.5,3.21573485915555
"MAFK_CEBPB",2134746,27.5996464077783,22.18,6929,0.719035375895876,-558.212194613478,6929,1.71214318559599
"MAFK_ELF1",3180671,28.5540766972262,21.71,11791,0.71174336561392,-549.560882352946,11791,1.50749273626015
"CHD1_CHD1",3770664,28.5960210169237,184.4,12031.5,2.5323122284876,-361.402613122177,12031.5,0.918847549428692
"CHD1_CHD1",4781110,28.8995273631687,194,13880.5,2.61405509519372,-361.402613122177,13880.5,1.0804668690454
"CHD1_BHLHE40",1266021,26.484343787932,23.35,3242,0.737230903660189,-478.156564171125,3242,0.59132267531651
"CHD1_ATF3",1274348,26.5082006562013,25.17,3308,0.765537435791666,-517.403642857148,3308,0.875290741712361
"CHD1_ATF3",1516187,27.0297701242266,34.84,4732,0.903168527388182,-517.403642857148,4732,1.0182097142067
"CHD1_ATF3",1266001,26.4842857972511,33.32,3241,0.88337882877898,-517.403642857148,3241,0.993369388547004
"CHD1_ATF3",3045215,28.302206905908,25.82,10340,0.775208237368876,-517.403642857148,10340,0.884247858047202
"CHD1_ATF3",3196990,28.3712237246522,112.5,10717,1.80899536433056,-517.403642857148,10717,2.56228301008556
