"x.prod","y.prod","x.sum","y.sum"
29133,44422.6007543255,24498,-6060.90024668936
18750,27614.5602440096,13968,-3654.25854686969
21480.5,39595.8296248437,16090.5,3713.37807888053
16925.5,35639.2986928452,13023.5,7131.36909603365
21169,27640.6248971395,15804,-7685.351910315
27353,38894.8075702787,22162,-7933.96334365329
8447,29596.7284208978,10081,12935.7462255015
28347.5,50456.1641333189,23362.5,1656.57087475529
33850.5,58472.4907371122,32776.5,-3115.49269657151
12583,25589.8938784745,11293,3301.5203999543
16682,30410.1477151363,12910,2262.159218986
23489,38688.8740589304,17992,-818.459848799132
27340,53763.8560241374,22120,6978.723267105
28125,46493.9267081208,23082,-1856.63955617556
12354,28233.7700393648,11201,6273.88708082155
24930,37310.169424982,19426,-4845.24629606487
32737,49936.4315923115,30614,-8888.83430285178
26997,45290.9853569992,21801,-879.002592981553
32129,50483.6356891584,29643,-6975.6611879387
10665,23261.6029825374,10673,3622.21782495972
5876,20863.9339435487,9608,7510.49257383926
34605,50972.0625676433,34403,-12597.4582809071
10958,20652.683061915,10738,628.819911280927
5979.5,13675.3142781966,9622.5,191.808102347158
23511,34971.6715877309,18022,-4581.59968000845
18696.5,41573.7605208551,13942.5,10384.4076050615
27245,46873.7837095938,22045,249.953110146005
36442,60963.838102241,37541,-6871.57672185339
29878,46533.9221872355,25703,-5633.67241463279
35394,51545.2886947714,35875,-13940.8572737795
27961,46643.0519032132,22871,-1373.65865017927
29563.5,48501.0877893388,25200.5,-2959.77535507088
37066,53913.2076759205,38284,-15151.8333397905
31293,49650.6633360116,28228,-5876.15096332031
33250,52860.6759708986,31568,-7208.6678685597
26889,38063.4008724154,21669,-7891.45424140519
31676.5,50981.6542198737,28958.5,-5486.95922318164
27848.5,48073.039718596,22729.5,283.143875317182
30991,40260.049983527,27628,-14508.2998291905
35345,56987.7967534387,35783,-8378.92310415554
11816,33130.1647648035,11011,11924.2573700045
21276,41985.8887600193,15660,6633.4829841803
23588,40656.0132830752,18098,961.666797208181
7882,37939.0243843109,8881,22749.6738735224
16386,45780.1204192523,12242,18429.8336943465
8005,30970.5196798055,8909,15619.2824490581
10653,36552.3767896114,9677,17603.7126985814
7880,36923.3141378987,8880,21736.9660664333
21834.5,49025.7504043037,16239.5,12630.89313862
24495,50897.9418055347,19071,9488.98808594982
22293,48107.2929110891,16722,10852.0426896317
18941,47641.7049929132,13677,16348.780555197
20229,53234.2509602769,14680,19763.8145797314
23752,49343.103605507,18253,9352.9534896594
19038,49002.9216305433,13719,17568.7956450514
19511,49488.0806551,14082,17257.9208369036
19011,50791.6345585689,13710,19394.9837474356
19360,52806.4201068308,13977,20822.9897501549
25135.5,54240.8134966946,19763.5,11617.3841709751
5211,31889.923786409,8344,20167.7490876914
22718,45810.530272929,17206,7732.77705298693
8216,22208.9768699711,8969,6571.89960639077
12129,40023.1554771105,10206,19000.7069676771
17972.5,44441.3078321344,13075.5,14681.9861810449
15875,42099.8147239364,11982,15519.7090025761
23723.5,44419.0992770827,18227.5,4479.37831284566
15478,45426.4982299588,11765,19454.9474909601
24322,47348.977187624,18877,6272.78087482807
19024,49159.6730629041,13713,17745.8846512286
16363.5,44040.8340966082,12220.5,16731.2897038988
12494,43322.4326944975,10344,21782.2768229102
19973,42942.2857860089,14447,9927.50929054682
23037,49971.6111761007,17485,11333.7684614454
6797,27451.8747881942,8638,13687.8369273722
13106,41185.6100724751,10618,18748.4518142724
8310,32659.4262422216,8993,16896.8628636937
14264.5,32353.3315388337,11142.5,8214.21300686352
3233,21794.2254457244,8055,12565.8122259746
28423,51662.6404961502,23970,2362.55920481819
29545,50405.7436536153,25809,-1447.10894474181
30431,51987.5348818976,27351,-1942.17042469738
28412,52168.1274759194,23956,2890.33536314721
27983,48550.4766239206,23331,195.643089142544
8210,33697.1025056959,8965,18069.7120615298
13132.5,37610.3628105236,10638.5,15128.4958458135
15409,42129.9480809342,11730,16262.3212493038
24461,50537.6950776793,19049,9183.18033381182
13231,36980.1895694016,10684,14353.0005984496
21012,41051.0171443652,15387,6190.74306292397
20141.5,47293.9835474111,14608.5,13973.76005235
30248,57367.8754605266,27024,3872.91594230351
22644.5,48773.3656932971,17131.5,10831.6032980286
21435,54808.7513927953,15807,19171.7853432312
29321,53149.288105079,25394,1838.59764875816
27224.5,54564.7222393996,22353.5,7755.07555740042
21475,54627.805814873,15851,18914.4829441661
18046,46560.2115996827,13127,16680.5276571561
32211,51838.5393766201,30426,-6248.04758495699
29138.5,55694.5561988636,25093.5,4800.02400815101
26775,55594.0686541931,21870,9635.04120896169
28417,48892.5240299731,23958,-392.43443038423
23341.5,48346.1061773829,17812.5,9132.05944754434
26474,50034.1048892809,21474,4693.76216693267
8464.5,17242.1089738618,9021.5,1280.73285307386
4977,20087.788863623,8308,8661.85994865398
19338,45904.0360166506,13950,13964.5045156494
14621,42836.6136973575,11307,18171.6535009208
17336,49926.9802652381,12738,21136.265331531
18022,46097.1052505019,13110,16256.8480870772
20677,54900.2139334451,15088,20632.2028786424
16182,47400.8641719636,12139,20357.5057594554
20343,47954.5521651968,14781,14283.0786796541
26577,48366.0522958183,21622,2805.51205888404
7944,31920.3732644818,8896,16648.8191577993
27611,52814.9781095379,22822,5238.07725560401
33309,55681.3725962721,32501,-5090.47275882815
31114.5,62160.5303750679,28675.5,6536.96138468349
18354,49477.2254698015,13315,19112.062822391
11995,38090.3834658994,10145,17265.021382441
15952,43700.5896724965,12018,17006.5887908109
25792.5,53980.5312784627,20650.5,9991.29907805098
34164,63049.044384604,34350,27.74491474159
24317,56133.2019797682,18858,15075.7235391234
30694,63982.3365162811,27867,9396.54213307778
30762,61783.4992049559,28010,7021.55622725691
22660,53190.5090943238,17154,15215.455147987
26543,56016.9824901587,21580,10524.471257843
26149,57724.816162418,21048,13051.4184608409
27373,61595.0164649826,22529,14493.6391419336
29609.5,58585.0933664719,25901.5,6594.47213788117
8701,39195.6008384126,9072,22925.2224905752
11763,25883.5179320808,10050,5392.16927975145
21248,52261.2328107799,15627,16963.7717129199
27138.5,52235.297578998,22242.5,5600.96188615458
24137,51918.8588928318,18673,11196.1526285434
32004.5,51909.781429943,30097.5,-5713.7459710281
21765,53377.7660838869,16162,17116.2922714559
32128,58117.3836902074,30297,214.854336980155
29631,60431.3987273156,25937,8391.68361523667
19747,51704.0143706925,14272,19070.6426083303
26220,51488.5479606846,21142,6668.81282860268
31482,60044.6393116203,29343,3540.66327157531
10108,34200.5025410611,9505,16001.7132703373
19280,50087.0797978208,13888,18257.0425848754
14120,44388.5842623967,11083,20457.7283280933
18534.5,35839.7743350152,13423.5,5191.24063732591
34657.5,58956.7659529245,35303.5,-5285.62306619983
24122,50996.3338055418,18648,10308.0371114649
5465,28598.7944413799,8398,16544.9135541226
33472,55940.2543253915,32848,-5256.6974682018
33434,54486.4327141219,32771,-6614.06164851974
34232,55448.3547010699,34492,-7748.41386184316
33826,56719.0729308623,33613,-5408.85747260843
34099,57617.7983288309,34199,-5225.40094179236
10350,38821.6368915176,9578,20292.168532066
14358.5,37894.3575792954,11170.5,13627.0349265974
5586,32360.5032833355,8410,20157.9306371183
22689,50128.0273754174,17179,12102.303293723
17971,43493.1980230946,13074,13736.6378275812
26442,48425.0139072081,21451,3137.46672414429
25966.5,52439.957051579,20839.5,8120.20348266466
36090,64793.4350917481,37495,-2601.8855993449
32321.5,55731.4171958247,30627.5,-2620.43162469166
29202,62514.0264720226,25204,11470.6560940044
34997,62498.8466235859,35787,-2466.40004901596
33814.5,61242.9719428556,33566.5,-840.004750621323
27215,60906.2316889761,22338,14118.1512342959
28883,60476.6458117998,24692,10151.6887651937
36835,57475.7536972189,38260,-11304.6799589012
34354.5,61444.3227087187,34788.5,-2096.19797768228
30633,61227.6141598154,27756,6788.09404229282
32743,55503.6546656135,31318,-3806.94906050594
28510.5,52589.9777451334,24087.5,3108.42650184413
34626,55391.3397877549,35244,-8774.03262380986
13436.5,20448.0439810406,10756.5,-2467.090711643
8657,27420.6329531981,9062,11208.1542531274
27553,51341.2127216168,22742,3886.03718174974
26919,57541.1766667231,22012,11318.4084890769
26103,53097.3586317932,20986,8519.51759100382
31038,65764.5853781703,28544,10319.2232016449
27092,60088.0717005953,22193,13541.3796349459
10172,37727.9210109935,9525,19441.2076992724
30296,56940.0099683341,27101,3336.97832976934
34926,61313.0991234751,35689,-3503.09211284183
11230,37946.8871734151,9871,18196.2322242394
17403,47528.9417045478,12773,18636.6258013505
1548,33155.5700458302,812,30805.8609548668
2342,31358.5767221182,1280,27768.6546172994
1519,36467.5185212641,795,34163.0435540979
5785,28042.8068520806,4830,18041.7170603163
6054,24708.1085428192,5308,14069.7819157248
1265,10589.1833334064,665,8668.05666460431
586,23527.3838680971,343,22613.6940741865
