"x","y","upper","lower"
1091,25033.5382193548,36367.8620489988,13699.2143897108
1092,25016.3320222404,36337.1706058374,13695.4934386434
1093,24990.7013459865,36294.7104244371,13686.6922675359
1094,25001.6568488115,36297.690305357,13705.6233922659
1095,25020.4491958622,36311.4204559853,13729.4779357391
1096,25010.1948875674,36293.7453956432,13726.6443794917
1097,25035.9688852524,36292.7201312468,13779.217639258
1098,25062.6430104306,36292.6006275508,13832.6853933104
1099,25046.7380916915,36276.3503534574,13817.1258299255
1100,25058.5189928311,36276.6372072521,13840.4007784102
1101,25086.3123666133,36308.1907504695,13864.4339827572
1102,25087.8507476729,36308.7144743081,13866.9870210376
1103,25057.473577423,36261.3659576977,13853.5811971483
1104,25053.8172792864,36253.8653098326,13853.7692487401
1105,25030.455191205,36226.4996565803,13834.4107258297
1106,25044.6362893666,36234.4444003088,13854.8281784243
1107,25057.9528665395,36246.0179736807,13869.8877593983
1108,25032.8474302728,36203.7981378663,13861.8967226792
1109,25031.7798142804,36203.1248920611,13860.4347364997
1110,25027.2406540649,36191.5365414131,13862.9447667168
1111,25026.1593104087,36189.3188027388,13862.9998180786
1112,25008.4951862623,36183.8746079083,13833.1157646162
1113,24978.1684994692,36124.2854139117,13832.0515850268
1114,24982.4877741696,36134.4680401439,13830.5075081952
1115,24974.5347206295,36127.2416317708,13821.8278094882
1116,24957.7540753986,36099.3626146617,13816.1455361355
1117,24922.6024643791,36044.1237257182,13801.0812030399
1118,24898.1239944389,35991.5030464998,13804.7449423779
1119,24911.4745139366,36003.7749542923,13819.174073581
1120,24918.370480284,36008.6347697079,13828.1061908601
1121,24919.9491250884,36012.2441180402,13827.6541321366
1122,24924.6686527324,36012.9007460231,13836.4365594417
1123,24906.193550791,35986.9300843542,13825.4570172278
1124,24883.1513251375,35959.2501997149,13807.0524505602
1125,24854.6153611016,35911.8530590514,13797.3776631518
1126,24858.7155968572,35913.4470038487,13803.9841898656
1127,24841.8451699687,35885.2353263309,13798.4550136064
1128,24811.9121030356,35824.6992544726,13799.1249515986
1129,24817.2191707132,35829.9093034667,13804.5290379596
1130,24792.6685985688,35790.8696624566,13794.4675346811
1131,24784.6387706655,35785.3248960091,13783.9526453219
1132,24786.4517049029,35785.3468287428,13787.556581063
1133,24770.0170442657,35757.2039396238,13782.8301489076
1134,24757.935921183,35725.1575059846,13790.7143363814
1135,24753.2895706588,35726.6649885952,13779.9141527224
1136,24730.4309293001,35678.0667401838,13782.7951184165
1137,24738.8423994746,35683.707759779,13793.9770391701
1138,24724.9467485464,35658.7010828611,13791.1924142316
1139,24736.4356058003,35669.4096421192,13803.4615694813
1140,24748.6659564938,35673.4324962715,13823.8994167162
1141,24715.2040236422,35614.3018777093,13816.106169575
1142,24720.9006781254,35617.4115939467,13824.3897623041
1143,24711.2234661554,35598.5418467148,13823.905085596
1144,24712.6268024164,35599.1945027932,13826.0591020395
1145,24683.113503215,35542.0627881294,13824.1642183005
1146,24671.9672686602,35521.0073387277,13822.9271985926
1147,24658.2369196764,35493.507319169,13822.9665201837
1148,24647.2954041955,35484.4376942316,13810.1531141594
1149,24629.8480749739,35450.1728356723,13809.5233142756
1150,24648.1004417447,35463.4636125391,13832.7372709503
1151,24659.5246161922,35463.5473294536,13855.5019029308
1152,24633.2002569434,35437.6515814933,13828.7489323935
1153,24627.6406105718,35434.9293963105,13820.3518248332
1154,24643.8375950368,35445.1791307041,13842.4960593694
1155,24642.4627020063,35445.4306263389,13839.4947776738
1156,24646.3657989094,35446.3147259704,13846.4168718485
1157,24620.1603149334,35387.3924526451,13852.9281772216
1158,24600.7147627633,35343.2646911426,13858.164834384
1159,24587.21701425,35317.2490364542,13857.1849920458
1160,24564.0650719115,35265.2956461436,13862.8344976794
1161,24573.3680712418,35269.7520744146,13876.9840680689
1162,24569.0398259053,35265.2454432913,13872.8342085193
1163,24553.1655151096,35230.1297973586,13876.2012328606
1164,24547.8363000226,35219.4494314039,13876.2231686413
1165,24515.9796121759,35160.7039505803,13871.2552737715
1166,24508.1971986305,35151.2735733824,13865.1208238786
1167,24500.4314794274,35141.759715832,13859.1032430228
