"x.prod","y.prod","x.sum","y.sum"
14358.5,28917.3644814618,11170.5,25806.6550736362
5586,38215.0536338788,8410,37045.9005659509
22689,34194.7911555634,17179,29274.5445071263
17971,32436.4682495604,13074,28533.9698995046
26442,29247.0712550946,21451,23527.4046129204
25966.5,34603.2511493488,20839.5,28984.160792158
36090,40736.5991483183,37495,33012.9300412714
32321.5,30614.4364534422,30627.5,23667.4642329924
29202,44998.774815693,25204,38697.3769713521
34997,36974.842252181,35787,29479.3083794568
33814.5,37718.2657963856,33566.5,30465.7859540256
27215,44830.1165518591,22338,38945.8662273602
28883,40039.678799515,24692,33804.7275149861
36835,30339.3760953587,38260,22456.1776515659
34354.5,37228.4291026384,34788.5,29867.0560339706
30633,40454.0111148395,27756,33857.1176832064
32743,30251.4590151568,31318,23216.8310457603
28510.5,31224.9609846262,24087.5,25067.5331687879
34626,27325.720822878,35244,19907.9945419513
13436.5,10348.0440160046,10756.5,7440.14393713753
8657,25979.5410484837,9062,24127.5311973363
27553,30484.9346896767,22742,24528.8819948197
26919,41519.804400344,22012,35698.7149009583
26103,34343.2818969412,20986,28695.0262998392
31038,44969.7909563773,28544,38289.930334026
27092,41758.4074391831,22193,35900.3067498352
10172,35464.2978378587,9525,33276.8449247536
30296,34573.0479507347,27101,28045.1984205975
34926,35181.9235604232,35689,27701.3398187692
11230,35197.9770763654,9871,32776.4963608397
17403,37130.0076731361,12773,33351.9864952766
1548,34316.7765814601,812,33977.4483518165
2342,32131.5518902378,1280,31618.6954693653
1519,37029.9482048592,795,36696.9588475232
5785,28947.2128863076,4830,27697.2424790888
6054,25426.3872401446,5308,24120.8520189132
1265,12161.2606190877,665,11883.9818099194
586,30166.5113681766,343,30038.4172093959
1588.5,32113.1142811771,842.5,31765.0017200983
8929.5,23169.7231900185,11430.5,21280.4483069064
7084.5,31465.2448649321,7119.5,29946.6505337609
10551.5,23382.5633146286,15408.5,21169.3095470375
5274,22356.5066077257,4058,21213.4619034371
6473,22646.9468610188,6045,21254.7865809447
10386.5,17938.7125626892,14997.5,15758.3520226099
2763,34902.9323825718,1589,34298.6810316928
4310,33180.5106962563,2968,32242.8797607205
7805,32253.6130377945,8703,30589.2527781424
10367,27457.2383007587,14931,25280.5841574371
2148,12962.7532540315,1161,12492.2484406443
981,32878.2345612211,519,32663.2397678742
2244.5,32498.8890438671,1211.5,32007.2298172167
7823.5,28877.3295915826,8745.5,27209.2451431671
12503.5,33025.3239075463,20533.5,30425.5858360239
13844.5,27893.4115047197,23595.5,25023.5315345541
10068,24157.9655823339,14017,22039.2096131712
13554,25734.6560671331,22913,22923.1031292607
19397.5,21545.2643436815,34456.5,17538.3838566553
3353,9816.55376930333,6342,9127.83138906188
4139,9700.55528173345,9363,8865.8745054263
3858,24771.2471693931,8134,23987.2434892792
693,15899.6485156215,392,15748.027551891
2033,13408.5459655362,2645,12978.8403483159
1614.5,14911.08917603,1898.5,14567.8004605329
701,18993.53388968,411,18840.3087415211
1008,17746.2332092084,837,17528.3872869713
692,19338.2458950554,390,19186.8292401887
3525,21603.2406163421,6946,20882.0019399798
