"x.prod","x.sum","y"
27965,31216,16676.5
12545.5,7584.5,38073.5
7486,4165,32177.5
10608,6039,32680.5
17791.5,13971.5,36481.5
24718.5,25474.5,32630
16282,12117,28459
20027,17789,27402
20907,19153,16126
5087.5,3329.5,37417.5
7331,4069,7872.5
14989.5,10410.5,36639.5
17635,13751,4658
15459.5,11045.5,36974.5
26313,28667,5273
19702,17254,13637.5
25539,27073,7781
6103,3639,8094.5
13343.5,8418.5,37044.5
2999,2827,34306
29042,33011,2174
6286,3711,33313.5
3064,2843,34641
16310,12150,28109
12236,7306,24666
19924,17618,15425.5
32306,37113,10822.5
22892,22375,26943
30305,35193,2737
20731,18882,15771.5
22509,21843,21860.5
33541,38125,1815.5
24556,25209,25974.5
27122,29916,6414
19564,17054,8684.5
25007,26059,25264.5
20596,18666,26542
24166,24541,4754
30186,35043,18388.5
6924,3911,26116
13141,9292,21607.5
15126,12267,14561
14448,11241,34387
3695,2344,35166.5
1614.5,1898.5,34668.5
9421,5198,34967
3772,2354,36797
5386,2894,36363
3694,2343,37371
13622,9995,34781
5744.5,3045.5,37235.5
15901,13358,29734
14009,10578,27508
11352,6992,34358.5
12329,8147,34505.5
15239,12470,27721.5
11435,7062,33044
11806,7487,36599.5
11418,7049,36213.5
11706,7367,24613.5
16478,14254,35630
2290,2016,37743
14405,11141,14644.5
3888,2394,3457.5
6358,3302,35238
10566,6281,20595
9046,4878,17634
15225,12433,13145.5
8752,4674,35774.5
15743,13138,13725.5
11428,7054,35023
9409,5175,30478
6628,3426,36183
12132,7881,19548.5
14634,11501,22751
3103,2198,24124.5
7074,3625,35369
3939,2419,35231
7863,4035,21383
1340,1841,37707
19763,20313,15234
21094,22488,8997.5
22105,24297,10071.5
19756,20304,14843.5
19318,19528,11598
3883,2392,36789.5
7095,3633,34587
6796,3515,12193
8715,4638,30792
15871,13321,29286.5
9424,5200,12318.5
7157,3662,27002.5
12924,9002,17579.5
12273,8066,32404.5
12557,8497,23837.5
21882,23915,19653
14340,11051,19909
13270,9495,34028.5
18011,17137,5531.5
