"x","y","upper","lower"
1068,34471.164962141,45645.0869703353,23297.2429539468
1069,34457.2074922176,45617.003998494,23297.4109859411
1070,34460.3155664315,45615.6546494115,23304.9764834514
1071,34474.0333477633,45616.4396908251,23331.6270047016
1072,34496.3075319652,45620.8471963042,23371.7678676261
1073,34487.2980574304,45604.0066029128,23370.5895119479
1074,34465.9825713078,45576.166342335,23355.7988002805
1075,34492.8058465499,45566.115030613,23419.4966624867
1076,34464.9728142005,45527.4411277171,23402.5045006839
1077,34424.1751606458,45494.3116886434,23354.0386326482
1078,34385.2569333003,45487.2037053733,23283.3101612272
1079,34375.8452537587,45472.9455394395,23278.744968078
1080,34380.1996441307,45471.3257969444,23289.0734913169
1081,34387.2442026905,45469.6204194904,23304.8679858905
1082,34397.256055557,45468.3554601468,23326.1566509671
1083.5,34382.3016987745,45447.1848804643,23317.4185170848
1083.5,34395.5560494358,45449.0164007326,23342.095698139
1085.5,34411.9553256497,45451.9004276066,23372.0102236929
1085.5,34434.9623627597,45448.9643643576,23420.9603611618
1087,34424.1759625383,45423.1346501496,23425.217274927
1088,34436.9151562962,45423.1672340964,23450.6630784961
1089.5,34399.9976058379,45387.6550512084,23412.3401604673
1089.5,34369.0063822554,45366.1181512243,23371.8946132866
1091,34379.6960052422,45370.5633486766,23388.8286618078
1092,34375.5924491266,45363.3149171484,23387.8699811048
1093,34363.4338024753,45346.2469729204,23380.6206320301
1094,34387.2848837337,45343.3011940777,23431.2685733897
1095,34423.0188093302,45364.6659285431,23481.3716901173
1096,34415.8851874416,45350.7941090636,23480.9762658196
1097,34452.2988441454,45336.8541499242,23567.7435383667
1098,34491.3429925087,45326.2611538952,23656.4248311221
1099,34462.8578334329,45284.0363137052,23641.6793531607
1100,34492.6216316464,45275.8501196672,23709.3931436256
1101,34534.8567635133,45305.9204411442,23763.7930858824
1102,34545.5440656856,45304.4105869716,23786.6775443996
1103,34515.8158140246,45265.8435757159,23765.7880523334
1104,34528.2616668267,45291.1596381944,23765.363695459
1105,34502.9020321976,45284.1883907017,23721.6156736936
1106,34527.9970228504,45282.5285685609,23773.4654771399
1107,34552.732430186,45295.1871526663,23810.2777077057
1108,34539.6965453685,45275.2214942077,23804.1715965293
1109,34533.7018079399,45267.1885842669,23800.2150316129
1110,34535.3331514948,45271.6823250903,23798.9839778994
1111,34525.6574547917,45254.1351183311,23797.1797912522
1112,34500.3978565898,45234.4579252194,23766.3377879601
1113,34477.2265253104,45206.0767052325,23748.3763453883
1114,34478.8077886504,45209.1637766707,23748.4518006301
1115,34465.7140565731,45193.3209997947,23738.1071133514
1116,34455.2712686139,45174.2948858183,23736.2476514096
1117,34422.6138266518,45127.9886658442,23717.2389874594
1118,34412.8539839321,45111.4013317182,23714.3066361461
1119,34436.6883780995,45122.9575376593,23750.4192185397
1120,34457.9422935381,45133.1044644013,23782.7801226748
1121,34453.1854069329,45123.3202339136,23783.0505799522
1122,34472.3170446302,45116.5741732167,23828.0599160437
1123,34466.391645229,45109.5933646911,23823.189925767
1124,34458.62484859,45101.1113052215,23816.1383919585
1125,34442.8950783603,45082.8891017917,23802.9010549289
1126,34456.1972091811,45082.8038378063,23829.5905805559
1127,34434.4882836441,45039.3851461243,23829.5914211639
1128,34418.3868850427,45014.2137286417,23822.5600414436
1129,34433.1508498723,45022.7999036334,23843.5017961113
1130,34409.3822234611,44985.3275157299,23833.4369311924
1131,34385.1705692178,44970.1278705517,23800.2132678838
1132,34399.8886205015,44961.8001693534,23837.9770716497
1133,34388.4040766575,44941.6259052083,23835.1822481066
1134,34394.289472867,44954.9458006579,23833.6331450761
1135,34397.6205194883,44951.7685498934,23843.4724890831
1136,34372.5391009068,44894.3603378848,23850.7178639289
1137,34392.5837336033,44900.221574826,23884.9458923806
1138,34381.8508680336,44878.9731272433,23884.7286088239
1139,34399.4688084442,44884.2536564012,23914.6839604873
1140,34426.9541504795,44884.0689894703,23969.8393114887
1141,34402.1692935017,44859.6157571419,23944.7228298615
1142,34420.2497531303,44863.0714326166,23977.4280736439
1143,34416.3011339299,44855.3906698711,23977.2115979887
1144,34427.1635458344,44855.0484925959,23999.2785990728
1145,34414.0783398991,44834.8352887146,23993.3213910835
1146,34403.091398269,44810.9030585159,23995.2797380222
1147,34397.317173992,44798.0482935083,23996.5860544758
1148,34371.6183736791,44770.9005627984,23972.3361845599
1149,34363.6576908702,44755.4679757368,23971.8474060036
1150,34385.8266069198,44753.7839609938,24017.8692528458
1151,34409.1767890934,44738.9886638585,24079.3649143283
1152,34381.3358084021,44707.2381133402,24055.433503464
1153,34391.4051590311,44710.7279506679,24072.0823673943
1154,34421.6403033734,44719.9662908643,24123.3143158825
1155,34428.193904743,44714.3950053553,24141.9928041307
1156,34440.9711275202,44710.2177345131,24171.7245205273
1157,34432.5384640206,44693.6953636443,24171.3815643969
1158,34421.5743455305,44675.900093436,24167.2485976251
1159,34406.1002135192,44640.0715087428,24172.1289182957
