"x.prod","x.sum","y"
10166,30208,2086.5
8221,24404,5914.5
301.5,38.5,36766.5
2510,3748,8135.5
8198.5,24304.5,7356.5
2075.5,2751.5,14328.5
1202,1131,12569.5
1933,2463,9432
5085,13040,7802.5
2094.5,2786.5,22713.5
11135,32266,3696
4399,10519,6482.5
7915,23407,7522.5
7959,23567,4421.5
3814,7973,13519
5417,14295,13826.5
5236,13574,12973.5
5817,16095,4992
7160,21064,8244
774,500,14759.5
1163,1067,9465.5
3338,6305,5417.5
5714,15556,4334.5
4326,10223,5281.5
8921,26664,2286
3505,6875,5035.5
9019,26984,2849
7174,21128,7110.5
2886,4796,11572
5264,13695,7428.5
8516,25385,6018
932,742,25483
2752,4396,5786.5
1553,1781,10796
2559,3848,5742
11721,33577,2511.5
4324,10208,1400
484,175,16956.5
10317,30585,1744
10294,30501,1195.5
11214,32408,1217
10709,31395,1794
11037,32079,1935.5
963,785,11413
1586,1859,4126
626,299,449.5
494,181,5591
3824,8016,5023
3711,7595,8600
2409,3502,4441
5374,14081,6028
5156,13313,4238.5
4184,9597,4835.5
14100,36835,2347.5
9171,27507,2695.5
6888,20113,4940
8405,24984,844
10794,31569,773
12152,34550,930
10691,31362,1587
336.5,61.5,2780.5
5746,15728,8478
6677,19411,4979
11567,33220,1056
15674,37988,1002
11368,32798,4194.5
7846,23266,4999
4946,12580,3669
9584,28774,2422
6455,18565,1520
11681,33480,1124.5
1447,1550,521
766,493,14614
5924,16466,3398.5
3078.5,5451.5,10488
5599,15094,9818.5
5208,13479,8355
8180,24239,4654
5692,15454,7015
938,759,7428.5
7614,22588,5527
12048,34329,3035.5
14262,36976,854
4125,9275,1377
1087,959,8877
4178.5,9570.5,11313
2268,3159,8814.5
15021,10455,16103.5
17143,13128,19414
4504,3178,14771.5
4589,3203,17786.5
6504,3782,23827
4503,3177,19401.5
13040.5,8081.5,35449.5
17297.5,13305.5,33259
13112,8167,24306.5
13546,8652,27720
13413,8532,13928
2837.5,2796.5,25291.5
16328,12170,11305.5
4722,3235,3051
7599.5,4222.5,34635.5
10561,6009,5714
10237.5,5781.5,36158
17802,13988,7509
13898,9074,12624.5
16571,12488,10369.5
3822,3014,2179.5
8407.5,4575.5,35451.5
1671,2588,8178.5
21547,20205,4777.5
4716,3234,18357.5
10190,5741,20415.5
17959,14187,25716.5
8497,4651,18006
14802,10158,14655
24112,24441,13698
15160,10633,27547
23024,22570,5508.5
15192,10685,17178.5
12309,7357,20238.5
26403,28843,4957
20278,18163,26456.5
21980,20959,9591
12284,7338,9891
14522,9799,27770.5
