"x","y"
20229,43364.7044914466
23752,37016.2365601125
19038,40732.1858037604
19511,40970.6858037604
19011,41581.2044914466
19360,43890.2830257816
25135.5,41030.1621035041
5211,26296.2365601125
22718,34700.2830257816
8216,16695.7830257816
12129,33164.2365601125
17972.5,35775.1621035041
15875,34539.2830257816
23723.5,32252.1621035041
15478,37508.2365601125
24322,35103.2830257816
19024,39947.2044914466
16363.5,35955.6621035041
12494,36399.2044914466
19973,33706.7830257816
23037,38671.7830257816
6797,22633.6858037604
13106,34046.7365601125
8310,26654.2044914466
14264.5,25000.6621035041
3233,17372.1858037604
28423,36332.5094904922
29545,33826.0094904922
30431,34360.0094904922
28412,36847.5094904922
27983,33278.2830257816
8210,28260.9540374795
13132.5,30600.1621035041
15409,34258.2460260519
24461,38249.4540374795
13231,29819.2460260519
21012,31176.7830257816
20141.5,37586.1621035041
30248,39586.2830257816
22644.5,37351.1621035041
21435,44723.4540374795
29321,36475.2830257816
27224.5,39594.1621035041
21475,44438.2830257816
18046,37739.2460260519
32211,31745.2830257816
29138.5,38862.1621035041
26775,41388.9540374795
28417,33194.2830257816
23341.5,36461.1621035041
26474,36400.0094904922
8464.5,11330.6621035041
4977,15400.0094904922
19338,37382.5094904922
14621,36111.0094904922
17336,42229.0094904922
18022,38240.1858037604
20677,44746.7460260519
16182,39251.2460260519
20343,38962.1858037604
26577,34329.4540374795
7944,26456.7830257816
27611,37406.2460260519
33309,33695.7460260519
31114.5,42894.1621035041
18354,40505.7365601125
11995,32248.1858037604
15952,36585.6858037604
25792.5,40167.1621035041
34164,39813.7044914466
24317,43395.2365601125
30694,45152.2044914466
30762,42826.7365601125
22660,42585.6858037604
26543,42404.6858037604
26149,43528.2044914466
27373,46867.7830257816
29609.5,41203.6621035041
8701,33107.2365601125
11763,19635.7830257816
21248,41718.7365601125
27138.5,37340.1621035041
24137,39811.7830257816
32004.5,31677.1621035041
21765,42471.7365601125
32128,38111.7830257816
29631,42912.7044914466
19747,42111.7044914466
26220,37703.7830257816
31482,40687.2830257816
10108,28793.1858037604
19280,40726.2365601125
14120,36963.2044914466
18534.5,26937.1621035041
34657.5,35186.6621035041
24122,39282.5094904922
5465,23943.6858037604
33472,34577.5094904922
33434,33176.0094904922
34232,32968.5094904922
33826,34836.5094904922
34099,34960.7830257816
10350,32968.9540374795
14358.5,30522.6621035041
5586,26744.7460260519
22689,39110.4540374795
17971,34708.2460260519
26442,34430.2830257816
25966.5,38498.1621035041
36090,39896.7830257816
32321.5,35138.6621035041
29202,46043.4540374795
34997,38762.7830257816
33814.5,38653.1621035041
27215,46308.7830257816
28883,43797.2460260519
36835,32059.2830257816
34354.5,38024.1621035041
30633,43022.9540374795
32743,34804.2830257816
28510.5,36441.1621035041
34626,32400.5094904922
13436.5,13357.6621035041
8657,22220.5094904922
27553,36845.5094904922
26919,43541.5094904922
26103,39888.6858037604
31038,46467.7460260519
27092,45106.7460260519
10172,31361.2044914466
30296,39576.1858037604
34926,37717.9540374795
11230,31820.7830257816
17403,38955.2044914466
1548,33745.168166505
2342,31630.168166505
1519,37068.668166505
5785,25902.168166505
6054,22242.668166505
1265,11278.668166505
586,24435.668166505
1588.5,35084.4289381691
8929.5,19100.4289381691
7084.5,30072.9289381691
10551.5,17747.9289381691
5274,19862.168166505
6473,19417.168166505
10386.5,13600.9289381691
2763,34401.668166505
4310,31362.168166505
7805,26969.668166505
10367,20793.168166505
2148,12631.668166505
981,30769.168166505
2244.5,35646.9289381691
7823.5,25817.4289381691
12503.5,26554.4289381691
13844.5,18191.4289381691
10068,18426.168166505
13554,17453.668166505
19397.5,10062.9289381691
3353,8326.94027610492
4139,8184.94027610492
3858,16461.9407756894
693,13392.6997271629
2033,7400.38266406809
1614.5,9720.29709277898
701,13864.343334673
1008,12311.843334673
692,14177.343334673
3525,15070.9407756894
1085.5,20246.797092779
