"x.prod","y.prod","x.sum","y.sum"
9073,17273.0146543959,7497,16198.6581341081
4771,30174.8212236125,6555,29044.9107102233
33091,27626.1591409455,33870,22296.4096541689
9326,26068.7721760196,7570,24993.8767996576
4881.5,27987.9383378174,6567.5,26861.9838448244
21206,24838.1929311943,15554,22752.7901877916
16498.5,31333.5181422851,11518.5,29837.0483086251
24966,28007.9850724584,20333,25115.7803377894
35435,33554.225392754,37385,27605.6639455651
27802,30301.2367977317,24334,26714.7787995872
34058,28416.8276752854,35642,22762.1830755768
25695,30613.4780057913,21392,27536.2113866067
27467.5,29169.8710892115,23791.5,25680.5629512549
36240,28611.4303768267,38223,22530.1749116802
29327,33592.2583239505,26910,29540.6784558923
31541,30647.7800434332,30964,25853.0034461211
24654,20065.3826415488,19851,17258.6014422324
29727.5,30533.4736979603,27801.5,26313.2552287955
25570.5,31995.8898019603,21199.5,28952.7458050183
28981,20087.2755012253,26355,16134.85541786
33973,31842.2857554863,35535,26205.6560317568
10089,35730.4928814654,7842,34642.7615267398
22068.5,30000.236493432,16650.5,27729.7080369
8398,12573.7786620117,10065,10903.4535989684
8502,17361.8608819051,10093,15691.7484923047
11275,18887.1585945897,10832,17224.3552116057
8397,20725.5900650339,10064,19055.4209749854
19788,21518.3266410472,14729,19525.866211032
20344,32843.1992525673,15140,30795.3719217898
20178,25816.5879356647,15036,23781.2455480263
23524,27128.5905396295,18042,24644.8824332701
8707,22261.7121155847,10153,20590.979346403
16608,22881.6013716114,12881,21097.1099591679
25116,24719.9847701609,19600,21995.3196482456
20781,25252.7723004111,15497,23154.0835760604
23807,24878.216835632,18290,22357.9365989975
7252,15757.6807014834,9854,14063.9209051694
3479,15676.9669536712,9268,13882.5521161602
28722,25236.9169619125,23889,21802.1246716136
8705,18171.2261723673,10148,16501.4540543688
16147.5,24958.6079885547,12700.5,23185.3963221575
25252,19029.8529112998,19740,16283.1105218312
13880.5,32601.1717291909,11780.5,30890.2822101289
21785,26128.6539779682,16389,23897.5866940475
30942,28049.2015409479,27516,23963.9064663659
22203,20253.5945306903,16786,17961.8714712908
29970,25550.3598000609,25875,21761.3317346095
22248,26752.9461115532,16832,24453.9880323224
18780.5,24219.3486321803,13996.5,22324.5663516993
32795,26622.3706798828,30754,21948.5720815353
27569,21329.5920673579,22391,18149.2377373452
29133,26305.1041162087,24498,22763.3923822637
18750,17768.271756943,13968,15877.8141826749
21480.5,25872.1448572975,16090.5,23687.2739399116
16925.5,27946.9519143966,13023.5,26150.7802123905
21169,17332.2793354125,15804,15190.5881292991
27353,18425.5742375815,22162,15281.7211302882
8447,29971.6431909388,10081,28300.8112082788
28347.5,31664.6062465299,23362.5,28321.0935725981
33850.5,36663.7431439767,32776.5,31616.2157422026
12583,20062.8429593362,11293,18379.1779987841
16682,22031.4950586746,12910,20245.1922225182
23489,23820.9016565952,17992,21345.8961310223
