"x","y"
5692,31183.048337488
938,26888.7317384275
7614,24178.7758716164
12048,15216.51823764
14262,23039.8330133669
4125,26630.3330133669
1087,44331.4957361705
4178.5,30008.8231496218
2268,27922.2317384275
15021,21135.2987147325
17143,23888.7987147325
4504,30232.9052601401
4589,37881.004779727
6504,39211.004779727
4503,39299.504779727
13040.5,29402.80636668
17297.5,26643.30636668
13112,31959.504779727
13546,35345.004779727
13413,30242.8071853881
2837.5,30510.80636668
16328,25164.8071853881
4722,22162.3071853881
7599.5,30282.80636668
10561,20581.3071853881
10237.5,30151.80636668
17802,19954.3071853881
13898,28250.8071853881
16571,23816.8071853881
3822,11083.004779727
8407.5,30307.80636668
1671,38230.504779727
21547,17105.8071853881
4716,33395.4052601401
10190,30552.2987147325
17959,25841.9052601401
8497,30172.7987147325
14802,30272.3071853881
24112,25964.3071853881
15160,29438.4052601401
23024,17487.3071853881
15192,33011.3071853881
12309,28114.2987147325
26403,17008.8071853881
20278,25806.9052601401
21980,21502.3071853881
12284,14849.504779727
14522,34793.2987147325
10801,35266.7987147325
14212,10522.004779727
20057,19635.4052601401
4552,40220.3071853881
21157,21842.2987147325
27965,21890.7987147325
12545.5,30817.80636668
7486,37360.004779727
10608,37863.004779727
17791.5,29225.80636668
24718.5,25374.30636668
16282,33641.504779727
20027,32584.504779727
20907,31989.3071853881
5087.5,30161.80636668
7331,23735.8071853881
14989.5,29383.80636668
17635,20521.3071853881
15459.5,29718.80636668
26313,21136.3071853881
19702,29500.8071853881
25539,23644.3071853881
6103,13277.004779727
13343.5,29788.80636668
2999,39488.504779727
29042,18037.3071853881
6286,33812.4052601401
3064,39855.2987147325
16310,28607.9052601401
12236,29880.2987147325
19924,31288.8071853881
32306,26685.8071853881
22892,27441.9052601401
30305,18600.3071853881
20731,31634.8071853881
22509,27074.7987147325
33541,17678.8071853881
24556,26473.4052601401
27122,22277.3071853881
19564,13867.004779727
25007,30478.7987147325
20596,31756.2987147325
24166,9936.50477972703
30186,18887.4052601401
6924,41979.3071853881
13141,25082.048337488
15126,18035.548337488
14448,41755.6828393949
3695,34409.51823764
1614.5,30238.3231496218
9421,32336.013582862
3772,37022.7758716164
5386,36588.7758716164
3694,37596.7758716164
13622,42149.6828393949
5744.5,32805.3231496218
15901,25885.7317384275
14009,23659.7317384275
11352,31727.513582862
12329,30657.2317384275
15239,25090.513582862
11435,33269.7758716164
11806,36825.2758716164
11418,32365.2317384275
11706,36144.4957361705
16478,42998.6828393949
2290,35112.013582862
14405,26175.4957361705
3888,14988.4957361705
6358,32607.013582862
10566,27963.6828393949
9046,29164.9957361705
15225,20514.1828393949
8752,33143.513582862
15743,25256.4957361705
11428,31174.7317384275
9409,37846.6828393949
6628,32334.7317384275
12132,31079.4957361705
14634,34281.9957361705
3103,24350.2758716164
7074,32738.013582862
3939,31382.7317384275
7863,28751.6828393949
1340,37932.7758716164
19763,27617.2234767115
21094,21380.7234767115
22105,22454.7234767115
19756,27226.7234767115
19318,23128.9957361705
3883,36032.51823764
7095,41955.6828393949
6796,30527.8330133669
8715,34266.548337488
15871,28529.51823764
9424,30653.3330133669
7157,30477.048337488
12924,29110.4957361705
12273,39773.1828393949
12557,42172.3330133669
21882,31183.9957361705
14340,27277.6828393949
13270,33271.51823764
18011,23866.3330133669
20601,22172.3330133669
20800,19264.9957361705
18533,23979.1828393949
928.5,33663.3231496218
13294,38419.4957361705
10630,34230.548337488
18926,24173.3330133669
24268,17978.4957361705
20584,34770.6828393949
18107,29105.01823764
16048,38593.3330133669
19758,23133.9957361705
14887,26183.1828393949
17811,28272.7234767115
4031,7940.68283939493
2155,44787.7234767115
11688,35729.7234767115
8131,40156.7234767115
6321.5,32726.3231496218
10096,48019.2234767115
10597,21033.2758716164
12658,38838.048337488
9274,38700.048337488
12400,15963.7758716164
17936,22516.51823764
24287,21162.8330133669
12260,21116.8330133669
3729,44435.4957361705
7945.5,32274.8231496218
18937,26844.048337488
25801,18739.048337488
22915,39337.6828393949
778.5,31991.3231496218
10880,33256.013582862
22851.5,24291.8231496218
9605.5,33737.8231496218
6260,36742.2758716164
9094,35849.2758716164
17188,42874.1828393949
9645.5,32398.3231496218
27107,23067.7317384275
15732,32747.013582862
22404,28110.7317384275
22476,28291.013582862
