"x.prod","x.sum","y"
599.5,356.5,36902.5
5364.5,4089.5,12360.5
6557.5,6068.5,8668.5
2809.5,1603.5,38435.5
4382.5,2988.5,37724.5
7937.5,8727.5,37182.5
10509.5,14955.5,29876.5
2195.5,1175.5,11787.5
995.5,535.5,37142
10184.5,14035.5,14943
13708.5,22922.5,13277.5
2387.5,1308.5,37576.5
2340.5,1278.5,37593.5
8154.5,5603.5,35947
8473.5,6050.5,29490.5
1926.5,1133.5,21521
842.5,789.5,36485
7457.5,4762.5,19784.5
8969.5,6753.5,14723.5
4112.5,2134.5,37708
6249.5,3567.5,38471.5
10572.5,9517.5,37403
13606.5,15607.5,31574.5
3262.5,1682.5,22795.5
1489.5,989.5,36839
13224.5,14708.5,20365
17288.5,23254.5,17410.5
25121,20510,17291.5
27359,22172,19906
26580,21639,20656
10391,15020,12742.5
5437,14384,12666
20070,17848,30739.5
17944,17017.5,24864.5
10540,15045,20513.5
13645,15688,26729.5
10390,15019,21294
25836.5,21044.5,33176.5
25644,20904,31680
25839.5,21046.5,33792
14272,15839,24370
26274.5,21379.5,33730.5
28823.5,23412.5,32454
28199,22831,23554
26095,21234,19088
26004.5,21163.5,32864
22755,19122,20677
24097,19844,24731
27513,22278,16893
30244.5,25043.5,33333
26133.5,21256.5,33836.5
22875,19176,19699
27048.5,21955.5,33206.5
26767.5,21758.5,33276
23410,19464,24437.5
22855,19164,24739
23261,19381,9317
28796,23378,24575.5
7216,14540,19906
30128,24900,16263
20002,17828,4942.5
26527,21578,7297
10780,15079,425
28427,23044,27957.5
15297,16125,17175.5
21724,18588,2115.5
19499,17617,1903
27488,22257,1293.5
20754.5,18133.5,31117
19079,17456,22848.5
28031,22711,4061
22864,19172,23695
20032,17838,8134
28402,23025,21266.5
24818.5,20309.5,33536.5
15731,16249,22538
23840,19694,8165.5
26789,21776,5318.5
19541,17639,13383
9138,14808,2863
16723,16578,7320.5
23780,19671,4855.5
16430,16477,20656
10902,15102,18352.5
12669,15445,10009
17722,16934,2455
4588,14303,15711
31702,26912,2498
32707,28595,1046.5
33370,29730,1580.5
31696,26898,2084.5
31332,26436,1942.5
10766,15078,15783
16463,16492,16037
16003,16350,4837
20415,17985,20600.5
19033,17424,18345.5
28170,22817,20898.5
2860,14171,7617
16070,16364,22285
20079,17850,9478.5
16577,16529,18949.5
24858,20339,14157.5
23996,19786,27107.5
13071,15539,21511
24414,20029,11121
25927,21123,23559
33239,29521,11482.5
26445,21508,4754.5
9767,14902,17789.5
23263,19383,26900
25265,20619,23420.5
30145,24925,997.5
32349,28005,988
32512,28253,2156
8748,14747,16666
30662,25537,4519.5
3291,14200,27770.5
25301,20645,12808.5
21829,18635,19650.5
24210,19925,13114
30996,25962,1109
34754,31961,1514.5
22596,19056,18523.5
33701,30202,23973.5
32334,27989,24129.5
30261,25067,22901
28344,22974,12285.5
31697,26904,5990
12086,15333,18965
9295,14826,13452
7637,14602,7721.5
15986,16343,22404
27100,21982,2655.5
8123.5,14651.5,22921.5
29985,24748,2813
15412.5,16156.5,34514.5
11098,15132,213
6908,14509,12173
23223,19359,2365.5
21770,18612,7774.5
18098,17082,8821
4763,14312,3312.5
4445,14291,4436.5
15240,16112,28576.5
21314,18366,14916.5
21109,18280,20263.5
21787,18622,5225.5
20832,18165,14205.5
31325.5,26433.5,21191
24977,20421,6467.5
24533,20116,25569.5
19832,17758,23086.5
24188,19914,2120
27228,22065,18902.5
30080,24852,15390
34769,31974,517
23983,19778,852.5
6694,14486,15599.5
10464,15031,12952.5
22357,18916,22252.5
20769,18139,22039
17828,16976,26663.5
26417.5,21492.5,24706.5
31003,25970,20365
35571,33955,25161.5
33893,30516,24255
2686,14163,18457.5
22147,18810,30730
33861,30460,24119.5
20327,17944,26930.5
15149,16080,22605
19574,17652,27400
35672.5,34245.5,38252.5
33544.5,29975.5,33509
29437,24085,33342.5
20401,17976,26167.5
33942.5,30622.5,33846.5
32467.5,28177.5,33283.5
36138,35389,28841.5
28024,22702,24927
33560,30002,28476.5
33615,30068,24334.5
26470,21533,22679
34421.5,31370.5,33724.5
34765.5,31970.5,32858
30054,24828,24828.5
29729,24405,26535.5
30800,25708,13426
32747,28682,26475.5
11400,15188,21903
37163,37311,22021.5
14885,16011,532
35102,32690,32326.5
25093,20483,22002
30586,25448,3141
27866,22574,3338.5
34600,31667,1730.5
30404.5,25247.5,30757
25569,20850,26046.5
34706,31853,7297
32761,28709,27266
34449,31429,24389.5
33699.5,30200.5,34330
23608,19590,25134.5
29789,24482,11518
34198,31053,8373.5
28144,22797,15429.5
13003,15526,6250
23039,19268,8213.5
23148,19331,23399.5
17576,16891,22771.5
18639,17283,11107
22370,18923,2487.5
36464,35931,16811.5
27856,22559,3804.5
7528,14590,20422
35659,34205,2057.5
35636,34154,683
36181,35469,1060.5
35879,34886,2109.5
36068,35284,3988
13311,15604,17032.5
17803,16972,13707.5
9502,14852,1532.5
4630,14305,20356
7650,14603,15380.5
26508,21562,18629.5
197,14042,72
14467,15887,20532
26192,21306,10347
21723,18587,20147
29959,24721,17654.5
29574,24242,28781
17190,16734,22376
27506,22272,10468
30120,24893,24949.5
37382,37763,17162.5
34851,32120,8243
14214,15829,19308.5
26528,21584,28150
32409,28092,25936
34079,30872,1757
35930,34991,1142.5
36688,36317,4487.5
11006,15118,17789.5
35869,34856,8171
4122,14256,27447.5
30655,25525,14258.5
32113,27608,23039
33410,29795,17010.5
36370,35772,2799
37788,38361,3640
26817,21795,19004.5
37068,37051,26714.5
36267,35627,26337
33517,29940,25096.5
29174,23771,6872.5
35159,32844,8301
17475,16844,21123.5
12674,15448,12790
8984,14784,5658.5
22800,19136,24739
31776,27036,4901
8965.5,14779.5,24446.5
36441,35886,4086
24412.5,20027.5,32549
16834,16617,167
11331,15174,14645
30943,25890,2747
30956,25910,9987
7878,14623,5729
5498,14387,5913.5
24263,19959,28940
23953,19768,22685
30374,25212,23664
29676,24357,7087.5
23508,19531,22121.5
37498.5,37917.5,22470
26901,21860,9980
33840,30416,27631.5
30534,25396,25701.5
13085,15544.5,21754
33268,29572,3712.5
34325,31242,25867.5
36633,36219,22848.5
37420,37839,1409
27336,22136,1008.5
11677,15249,17870.5
14276,15841,14447.5
31151,26150,24893.5
27491,22260,27096.5
21182,18303,23336
36195.5,35488.5,23963.5
34803,32055,26037
1546.5,809.5,37659
2340.5,1278.5,37593.5
5783.5,4827.5,35680.5
6052.5,5306.5,30669.5
1263.5,663.5,23121.5
584.5,341.5,36429.5
5272.5,4056.5,22558
6471.5,6043.5,18478.5
2760.5,1587.5,37793.5
4308.5,2965.5,37749.5
7803.5,8701.5,37414.5
10364.5,14929.5,33149.5
2146.5,1159.5,24769
979.5,517.5,36936
10066.5,14015.5,24166.5
13552.5,22911.5,22382.5
20528,14794,22230.5
22870,17402,17559.5
22061,16457,26276.5
7421,7839,17106
3594,7181,16405
15696,11362,26458
13786,10256,30481
7525,7866,26788
10122,8647,26495
25836.5,21044.5,33176.5
7420,7838,26729.5
21134,15390,29914
21341.5,15633.5,36857.5
10646,8833,28217
21732.5,16104.5,37186.5
24430.5,19236.5,34129.5
23736,18395,31171.5
21556,15891,24370
21494.5,15795.5,33440
18217,12933,30643
19462,13817,28992.5
23033,17570,22331.5
26029.5,21280.5,37068.5
21591.5,15941.5,36023
18302,13000,25010.5
22534.5,17037.5,35151.5
22228.5,16675.5,35422
18800,13351,28886.5
18289,12989,30098
18666,13238,12577.5
24405,19185,30797
4888,7359,27478
25880,21108,20432.5
15641,11332,1978.5
21983,16383,10194.5
7724,7910,14551.5
23975,18690,19345.5
11596,9176,22982.5
17268,12340,3792
15220,11075,2429.5
23000,17540,2357
16317.5,11742.5,33230
14850,10836,27735.5
23553,18214,4487.5
18295,12994,27616
15667,11349,11017.5
23954,18654,22615.5
20188.5,14459.5,34875
11954,9359,27421.5
19225,13649,8548
22250,16708,7059.5
15248,11101,12495
6383,7614,6234.5
12754,9745,5710.5
19181,13609,5649.5
12506,9627,24893.5
7829,7938,23806.5
9328,8376,5265
13631,10181,3536
2995,7113,22260
27733,23507,5995.5
28909,25381,2091
29803,26940,4056
27724,23494,5239.5
27297,22885,2673.5
7718,7909,20402.5
12535,9640,26654.5
12157,9470,10282.5
16005,11575,29198.5
14791,10804,26091.5
23716,18358,30730
1808,6986,9540
12204,9496,29092
15700,11365,6075.5
12629,9696,19502
20249,14508,12086
19377,13768,26156.5
9673,8501,25361.5
19781,14067,14629.5
21425,15725,28183.5
29626,26648,15279
21908,16303,7080
6894,7712,22982.5
18667,13239,30690.5
20692,14950,27974
25909,21143,1818
28498,24681,1567
28652,24963,3414
6075,7557,21388.5
26496,21904,8199.5
2084,7015,31822
20732,14994,16485.5
17346,12400,24056
19600,13921,16078
26885,22367,2635.5
31605,30175,3100.5
18069,12835,24043.5
30222,27841,28608
28482,24665,29260.5
26053,21319,29145.5
23912,18601,17662
27727,23501,9264.5
8816,8221,24873.5
6506,7632,18378
5220,7411,12994.5
12151,9466,27276.5
22570,17091,5944
