"x","y"
30431,27942.8003625526
28412,30804.3003625526
27983,28034.4938777463
8210,34404.4815303974
13132.5,30229.3872918468
15409,33756.9881055384
24461,33009.9815303974
13231,30925.9881055384
21012,27430.4938777463
20141.5,34256.3872918468
30248,35592.9938777463
22644.5,33132.8872918468
21435,42961.9815303974
29321,31684.9938777463
27224.5,36695.3872918468
21475,42476.9938777463
18046,35714.4881055384
32211,26585.4938777463
29138.5,35829.3872918468
26775,36999.9815303974
28417,27911.4938777463
23341.5,31638.3872918468
26474,30002.3003625526
8464.5,12574.8872918468
4977,23761.3003625526
19338,33126.3003625526
14621,34601.3003625526
17336,40631.3003625526
18022,34626.5258918721
20677,42574.4881055384
16182,38466.9881055384
20343,34445.5258918721
26577,28164.4815303974
7944,33830.9938777463
27611,32488.4881055384
33309,29094.9881055384
31114.5,42378.3872918468
18354,38436.5249873151
11995,32647.0258918721
15952,33837.0258918721
25792.5,37433.3872918468
34164,38968.8894672113
24317,40723.5249873151
30694,45210.8894672113
30762,40526.5249873151
22660,39378.0258918721
26543,38919.0258918721
26149,41697.8894672113
27373,46048.9938777463
29609.5,39799.8872918468
8701,39813.0249873151
11763,19907.9938777463
21248,38815.5249873151
27138.5,32726.3872918468
24137,35780.4938777463
32004.5,25982.3872918468
21765,39702.0249873151
32128,34250.9938777463
29631,41269.8894672113
19747,40508.8894672113
26220,32992.9938777463
31482,37405.4938777463
10108,31164.0258918721
19280,38231.5249873151
14120,37362.8894672113
18534.5,22410.3872918468
34657.5,33338.3872918468
24122,34590.8003625526
5465,33768.0258918721
33472,29724.8003625526
33434,27807.8003625526
34232,28159.3003625526
33826,30423.3003625526
34099,31540.4938777463
10350,36435.4815303974
14358.5,29026.8872918468
5586,38298.4881055384
22689,34358.4815303974
17971,32566.9881055384
26442,29454.9938777463
25966.5,34810.3872918468
36090,41106.4938777463
32321.5,30920.3872918468
29202,45243.4815303974
34997,37327.4938777463
33814.5,38053.8872918468
27215,45046.9938777463
28883,40287.4881055384
36835,30716.9938777463
34354.5,37576.3872918468
30633,40724.4815303974
32743,30558.9938777463
28510.5,31464.8872918468
34626,27667.3003625526
13436.5,10453.3872918468
8657,26056.8003625526
27553,30700.3003625526
26919,41727.8003625526
26103,34539.5258918721
31038,45256.4881055384
27092,41980.9881055384
10172,35558.8894672113
30296,34831.0258918721
34926,35532.4815303974
11230,35288.9938777463
17403,37257.3894672113
1548,34308.0167997537
2342,32127.5167997537
1519,37021.0167997537
5785,28979.0167997537
6054,25463.0167997537
1265,12151.0167997537
586,30153.0167997537
1588.5,32102.5012086957
8929.5,23266.0012086957
7084.5,31518.0012086957
10551.5,23519.0012086957
5274,22380.5167997537
6473,22691.0167997537
10386.5,18071.0012086957
2763,34902.0167997537
4310,33193.5167997537
7805,32324.5167997537
10367,27591.0167997537
2148,12957.5167997537
981,32866.5167997537
2244.5,32492.0012086957
7823.5,28946.5012086957
12503.5,33213.5012086956
