Pair	jaccard	forbes	tetra
BCP_ENCSR000BRX_GM12878_CEBPB(TFsFromGheorghe)MACS_ENCSR000BUD_A549_TEAD4 (TFsFromGheorghe)	6197	12707	8671
BCP_ENCSR000EFG_IMR-90_RCOR1(TFsFromGheorghe)MACS_ENCSR398YBM_A549_CHD1 (TFsFromGheorghe)	21860	15549	17230
BCP_ENCSR000BSQ_Ishikawa_EGR1(TFsFromGheorghe)MACS_ENCSR000EGV_K562_BHLHE40 (TFsFromGheorghe)	27439	26690	30172
BCP_ENCSR000BRP_HepG2_TEAD4(TFsFromGheorghe)MACS_ENCSR000ECC_H1-hESC_NRF1 (TFsFromGheorghe)	3646	2871	1514
MACS_ENCSR000DON_MCF_10A_FOS(TFsFromGheorghe)MACS_ENCSR000EHJ_K562_STAT1 (TFsFromGheorghe)	6840	9959	11447
BCP_ENCSR000BID_HepG2_BHLHE40(TFsFromGheorghe)MACS_ENCSR000EDH_HeLa-S3_JUND (TFsFromGheorghe)	5160	10435	10248
MACS_ENCSR000BIO_A549_NR3C1(TFsFromGheorghe)MACS_ENCSR000BSR_MCF-7_CEBPB (TFsFromGheorghe)	1740	21459	17604
BCP_ENCSR000BKE_HepG2_ATF3(TFsFromGheorghe)BCP_ENCSR000EYZ_GM12878_FOS (TFsFromGheorghe)	24347	35707	28552
BCP_ENCSR000BSK_SK-N-SH_JUND(TFsFromGheorghe)MACS_ENCSR000BNX_HCT116_YY1 (TFsFromGheorghe)	23860	11920	17648
MACS_ENCSR000BRX_GM12878_CEBPB(TFsFromGheorghe)MACS_ENCSR000DZJ_GM12878_BHLHE40 (TFsFromGheorghe)	30865	34408	32863
MACS_ENCSR000EZK_HeLa-S3_STAT1(TFsFromGheorghe)MACS_ENCSR392EAA_HeLa-S3_CHD1 (TFsFromGheorghe)	28490	13337	20658
BCP_ENCSR000BTT_Ishikawa_CEBPB(TFsFromGheorghe)BCP_ENCSR000BUD_A549_TEAD4 (TFsFromGheorghe)	21732	23699	19654
BCP_ENCSR000BSA_HCT116_JUND(TFsFromGheorghe)BCP_ENCSR000EDH_HeLa-S3_JUND (TFsFromGheorghe)	34838	34476	34659
BCP_ENCSR000BSU_MCF-7_JUND(TFsFromGheorghe)BCP_ENCSR000DYV_GM12878_MAFK (TFsFromGheorghe)	7233	9857	5487
BCP_ENCSR000BMQ_GM12878_EGR1(TFsFromGheorghe)BCP_ENCSR000ECC_H1-hESC_NRF1 (TFsFromGheorghe)	21814	31266	23923
BCP_ENCSR000BMD_K562_ELF1(TFsFromGheorghe)BCP_ENCSR392EAA_HeLa-S3_CHD1 (TFsFromGheorghe)	25345	21651	21068
MACS_ENCSR000DOP_MCF_10A_FOS(TFsFromGheorghe)MACS_ENCSR000EEI_HepG2_JUND (TFsFromGheorghe)	34904	15131	31365
MACS_ENCSR000BJY_GM12878_ATF3(TFsFromGheorghe)MACS_ENCSR000BNX_HCT116_YY1 (TFsFromGheorghe)	27100	31272	34374
BCP_ENCSR000EFG_IMR-90_RCOR1(TFsFromGheorghe)MACS_ENCSR000BTT_Ishikawa_CEBPB (TFsFromGheorghe)	21780	15854	17069
BCP_ENCSR000BRX_GM12878_CEBPB(TFsFromGheorghe)BCP_ENCSR000BSY_Ishikawa_YY1 (TFsFromGheorghe)	3114	5759	2854
BCP_ENCSR000BID_HepG2_BHLHE40(TFsFromGheorghe)BCP_ENCSR000BUO_MCF-7_TEAD4 (TFsFromGheorghe)	9776	23057	12435
BCP_ENCSR000BJT_A549_NR3C1(TFsFromGheorghe)MACS_ENCSR517QHU_GM12878_BHLHE40 (TFsFromGheorghe)	21952	21815	30139
BCP_ENCSR000EDH_HeLa-S3_JUND(TFsFromGheorghe)MACS_ENCSR000EBU_H1-hESC_CHD1 (TFsFromGheorghe)	3744	771	656
BCP_ENCSR000DYI_A549_CEBPB(TFsFromGheorghe)MACS_ENCSR000DOT_MCF_10A_FOS (TFsFromGheorghe)	30169	13063	23286
MACS_ENCSR000EEI_HepG2_JUND(TFsFromGheorghe)MACS_ENCSR000EZK_HeLa-S3_STAT1 (TFsFromGheorghe)	25366	8473	16537
BCP_ENCSR000BSR_MCF-7_CEBPB(TFsFromGheorghe)BCP_ENCSR000EDA_HeLa-S3_CEBPB (TFsFromGheorghe)	34881	28365	34214
BCP_ENCSR000DZE_GM12878_CHD1(TFsFromGheorghe)BCP_ENCSR904YPP_GM12878_NR3C1 (TFsFromGheorghe)	26587	32225	25662
BCP_ENCSR000BIO_A549_NR3C1(TFsFromGheorghe)MACS_ENCSR000BUD_A549_TEAD4 (TFsFromGheorghe)	12619	33815	28255
BCP_ENCSR000EGN_K562_JUND(TFsFromGheorghe)MACS_ENCSR000BSD_HCT116_CEBPB (TFsFromGheorghe)	27554	16733	21550
BCP_ENCSR000EUM_GM12878_YY1(TFsFromGheorghe)MACS_ENCSR000DOG_K562_ATF3 (TFsFromGheorghe)	5670	25140	9492
BCP_ENCSR000BSR_MCF-7_CEBPB(TFsFromGheorghe)MACS_ENCSR382MOM_liver_YY1 (TFsFromGheorghe)	21305	7309	16590
BCP_ENCSR000BRX_GM12878_CEBPB(TFsFromGheorghe)BCP_ENCSR000EDJ_HeLa-S3_NRF1 (TFsFromGheorghe)	299	167	161
BCP_ENCSR000BJT_A549_NR3C1(TFsFromGheorghe)MACS_ENCSR000BJY_GM12878_ATF3 (TFsFromGheorghe)	28677	34541	28818
BCP_ENCSR000BPT_A549_ELF1(TFsFromGheorghe)MACS_ENCSR998AJK_K562_NRF1 (TFsFromGheorghe)	31659	26715	32957
BCP_ENCSR000BSM_SK-N-SH_YY1(TFsFromGheorghe)MACS_ENCSR000BRY_H1-hESC_TEAD4 (TFsFromGheorghe)	21315	17466	22129
BCP_ENCSR494TDU_K562_NRF1(TFsFromGheorghe)MACS_ENCSR517QHU_GM12878_BHLHE40 (TFsFromGheorghe)	30153	17996	29107
BCP_ENCSR000BRY_H1-hESC_TEAD4(TFsFromGheorghe)MACS_ENCSR475SOC_MCF-7_ELF1 (TFsFromGheorghe)	11940	18863	14949
BCP_ENCSR000FAU_K562_STAT1(TFsFromGheorghe)MACS_ENCSR000EEH_HepG2_NRF1 (TFsFromGheorghe)	2931	20429	6553
BCP_ENCSR000BRF_A549_JUND(TFsFromGheorghe)MACS_ENCSR000EYV_GM12878_JUND (TFsFromGheorghe)	8541	8204	6641
MACS_ENCSR000AQK_H1-hESC_CHD1(TFsFromGheorghe)MACS_ENCSR000EEV_HepG2_NR3C1 (TFsFromGheorghe)	1602	13850	12139
MACS_ENCSR000BSS_MCF-7_ELF1(TFsFromGheorghe)MACS_ENCSR000EEE_HepG2_CEBPB (TFsFromGheorghe)	25983	6459	15567
BCP_ENCSR000BRZ_HCT116_EGR1(TFsFromGheorghe)BCP_ENCSR000BSM_SK-N-SH_YY1 (TFsFromGheorghe)	20833	28663	20946
BCP_ENCSR000BKD_H1-hESC_YY1(TFsFromGheorghe)MACS_ENCSR000EHE_K562_CEBPB (TFsFromGheorghe)	18068	4187	8227
