"x","y","upper","lower"
1132,18253.5008535585,26219.831106388,10287.170600729
1133,18262.1055358379,26228.1372630549,10296.0738086208
1134,18280.0122121104,26252.5895647373,10307.4348594836
1135,18273.6309272089,26251.4976301619,10295.7642242559
1136,18276.2353228133,26255.1688037788,10297.3018418477
1137,18280.8723810475,26259.6598131706,10302.0849489245
1138,18280.329404912,26259.3571039249,10301.3017058991
1139,18281.0678458213,26260.1361336193,10301.9995580233
1140,18289.6930313072,26268.2593524469,10311.1267101675
1141,18290.71101579,26268.6676689635,10312.7543626164
1142,18295.0997768371,26272.8418558971,10317.3576977771
1143,18306.0399083,26285.2891657343,10326.7906508657
1144,18303.8636506462,26283.3981739569,10324.3291273355
1145,18306.6177478745,26284.7962851782,10328.4392105708
1146,18313.1574932652,26292.3539727534,10333.9610137769
1147,18323.1998139675,26304.5783361108,10341.8212918242
1148,18325.2000994569,26305.9860976862,10344.4141012277
1149,18327.5753724385,26307.3279827412,10347.8227621358
1150,18335.6727518373,26316.0224892172,10355.3230144574
1151,18341.0654151569,26318.1334896526,10363.9973406613
1152,18334.9466147671,26316.9204350237,10352.9727945106
1153,18328.3136537904,26311.593077036,10345.0342305448
1154,18333.2069868733,26315.8636982595,10350.5502754872
1155,18328.6767955849,26314.588763658,10342.7648275119
1156,18330.114857523,26315.7595568403,10344.4701582057
1157,18332.2247344108,26316.8207536698,10347.6287151518
1158,18342.3023378923,26327.7128441965,10356.891831588
1159,18341.9231084864,26327.3361871727,10356.5100298001
1160,18350.2541247848,26335.1478817306,10365.360367839
1161,18344.8877407507,26333.0815993593,10356.6938821421
1162,18348.8913822882,26336.3884655802,10361.3942989962
1163,18353.856969607,26342.9915801038,10364.7223591102
1164,18362.4099890882,26351.0857210463,10373.7342571301
1165,18363.3655806123,26351.5370268754,10375.1941343493
1166,18356.5777916776,26350.5200032897,10362.6355800654
1167,18356.3578193434,26350.3618991072,10362.3537395796
1168,18351.2695947422,26349.9741351367,10352.5650543477
1169,18356.288267224,26357.6552391908,10354.9212952573
1170,18363.6084930963,26365.9008699106,10361.3161162821
1171,18368.8671483119,26371.5036791314,10366.2306174923
1172,18370.10725347,26371.8807051786,10368.3338017613
1173.5,18372.5002393586,26375.1442179123,10369.8562608049
1173.5,18382.0644277773,26383.8864866096,10380.2423689449
1175,18388.0203433536,26391.5390088358,10384.5016778713
1176,18388.1314258216,26391.6503257004,10384.6125259427
1177,18394.0215357117,26395.7231006512,10392.3199707721
1178,18395.2041945992,26397.0081638142,10393.4002253842
